Identificador;Codigo de Lotacao;Registro a Vincular;Unidade Encontrada;Conta Vinculada
3010599576;000095.000000.000018.000045.000000.000000;False;False;False
3009015674;000095.000000.000019.000035.000000.000000;False;False;False
3009015676;000095.000000.000017.000024.000000.000000;False;False;False
3003302282;000095.000000.000016.000043.000000.000000;False;False;False
3003302281;000095.000000.000016.000043.000000.000000;False;False;False
3003302279;000095.000000.000016.000043.000000.000000;False;False;False
3003303240;000095.000000.000015.000049.000000.000000;False;False;False
3003303242;000095.000000.000015.000050.000000.000000;False;False;False
3003588984;000095.000000.000017.000000.000000.000000;False;False;False
Funciona na CARE;000095.000000.000017.000000.000000.000000;False;False;False
Funciona em imóvel que é locado. A Administração é feita pelo Gabinete da Regional Venda Nova - ADRE;000095.000000.000023.000000.000000.000000;False;False;False
3007614255;000087.000005.000003.000001.000000.000000;False;False;False
Imovel alugado;000095.000000.000016.000065.000000.000000;False;False;False
3014451510;000095.000000.000015.000053.000000.000000;True;False;False
3014568098;000095.000000.000020.000053.000000.000000;True;False;False
30009012893;000095.000000.000023.000024.000000.000000;False;False;False
3009012893;000095.000000.000023.000024.000000.000000;False;False;False
3003303425;000087.000002.000004.000010.000000.000000;False;False;False
2.968.065.018-00;000087.000002.000004.000010.000000.000000;False;False;False
3007759402;000091.000005.000001.000004.000000.000000;False;False;False
40165615;000088.000012.000000.000002.000000.000000;False;False;False
3009000462;000085.000006.000004.000000.000000.000000;False;False;False
3012354680;000085.000006.000000.000000.000000.000000;False;False;False
3009022273;000086.000000.000000.000000.000000.000000;False;False;False
3011087582;000048.000003.000002.000003.000000.000000;False;False;False
3007759402.0;000091.000005.000000.000000.000000.000000;False;False;False
3005508853.0;000091.000005.000002.000003.000000.000000;False;False;False
3009013117.0;000091.000005.000002.000002.000000.000000;False;False;False
3010959613;000089.000019.000006.000000.000000.000000;False;False;False
3007605122;000089.000019.000007.000000.000000.000000;False;False;False
3000524575;000089.000000.000000.000000.000000.000000;False;False;False
8.229.136.018-70;000092.000000.000016.000004.000016.000000;False;False;False
6.958.351.018-74;000092.000000.000016.000004.000008.000000;False;False;False
7.040.061.018-05;000092.000000.000016.000004.000009.000000;False;False;False
6.981.722.018-28;000092.000000.000016.000004.000011.000000;False;False;False
5.473.894.018-68;000092.000000.000019.000000.000000.000000;False;False;False
6.842.044.018-69;000092.000000.000016.000004.000012.000000;False;False;False
6.760.054.018-86;000092.000000.000016.000004.000006.000000;False;False;False
2.967.710.018-96;000092.000000.000015.000001.000005.000000;False;False;False
3.995.626.018-10;000092.000000.000020.000002.000000.000000;False;False;False
"2.967.743.018-08 
4.988.187.018-01";000092.000000.000015.000001.000007.000000;False;False;False
5.268.233.018-10;000092.000000.000015.000001.000003.000000;False;False;False
5.530.819.018-03;000092.000000.000013.000002.000004.000000;False;False;False
2.967.711.018-81;000092.000000.000013.000002.000001.000000;False;False;False
3.267.409.018-21;000092.000000.000016.000001.000001.000000;False;False;False
5.530.814.018-43;000092.000000.000016.000004.000001.000000;False;False;False
9.247.892.018-22 9.390.558.018-06;000092.000000.000013.000002.000005.000000;False;False;False
7.087.634.018-28;000092.000000.000016.000004.000015.000000;False;False;False
457.365.018-05;000092.000000.000016.000004.000002.000000;False;False;False
7.290.460.018-69;000092.000000.000016.000004.000010.000000;False;False;False
2.968.264.018-60;000092.000000.000016.000004.000017.000000;False;False;False
6.158.167.018-94;000092.000000.000016.000004.000004.000000;False;False;False
7.105.084.018-89;000092.000000.000016.000004.000013.000000;False;False;False
5.530.807.018-38;000092.000000.000016.000004.000005.000000;False;False;False
6.937.330.018-49;000092.000000.000016.000004.000014.000000;False;False;False
6.600.929.018-79;000092.000000.000015.000001.000009.000000;False;False;False
4.784.408.018-14;000092.000000.000015.000001.000008.000000;False;False;False
9.078.920.018-80;000092.000000.000013.000002.000003.000000;False;False;False
5.225.138.018-91;000092.000000.000016.000004.000003.000000;False;False;False
5.436.284.018-17;000092.000000.000015.000001.000006.000000;False;False;False
6.014.860.018-44;000092.000000.000016.000004.000007.000000;False;False;False
12.750.749.018-93;000092.000000.000016.000003.000002.000000;False;False;False
3001942540;000037.000002.000012.000000.000000.000000;True;False;False
F18B0901199;000037.000003.000004.000002.000000.000000;False;False;False
Y25S1389051;000037.000003.000004.000002.000000.000000;False;False;False
Y25S1267272;000037.000003.000004.000002.000000.000000;False;False;False
Y24F0450272;000037.000003.000004.000002.000000.000000;False;False;False
Y25F0003024;000037.000003.000004.000002.000000.000000;False;False;False
Y25S1267595;000037.000003.000004.000002.000000.000000;False;False;False
3012944429;000037.000000.000000.000000.000000.000000;True;True;False
3012944489;000037.000000.000000.000000.000000.000000;True;True;False
3012944543;000037.000000.000000.000000.000000.000000;True;True;False
3012944556;000037.000000.000000.000000.000000.000000;True;True;False
3012944588;000037.000000.000000.000000.000000.000000;True;True;False
3012944162;000037.000000.000000.000000.000000.000000;True;True;False
3012944184;000037.000000.000000.000000.000000.000000;True;True;False
3012944203;000037.000000.000000.000000.000000.000000;True;True;False
3012944208;000037.000000.000000.000000.000000.000000;True;True;False
